course_name,section_difficulty_level,section_name,subsection_difficulty_level,subsection_name,exercise_number,status,"systemID","tags","ID","questionType","preQuestionContent","questionContent","answerContent","optionsContent","shuffleOptions","shuffleAnswers","numEval","correctFeedback","incorectFeedback","specialFeedback"
Arithmetic,1,Natural Number,4,Division,1,true,"590234463441452","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0101","FITBT","","1 / 1 = [blank] rest [blank]","{1, 0}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"552415262764453","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0102","FITBT","","1 / 2 = [blank] rest [blank]","{0, 1}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"753183449034693","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0103","FITBT","","1 / 3 = [blank] rest [blank]","{0, 1}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"442997662986199","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0104","FITBT","","1 / 4 = [blank] rest [blank]","{0, 1}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"941122345995555","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0105","FITBT","","1 / 5 = [blank] rest [blank]","{0, 1}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"984455613263873","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0106","FITBT","","1 / 6 = [blank] rest [blank]","{0, 1}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"821565789019979","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0107","FITBT","","1 / 7 = [blank] rest [blank]","{0, 1}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"219286466671453","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0108","FITBT","","1 / 8 = [blank] rest [blank]","{0, 1}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"945656241476108","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0109","FITBT","","1 / 9 = [blank] rest [blank]","{0, 1}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"776835581251091","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0110","FITBT","","1 / 10 = [blank] rest [blank]","{0, 1}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"397198013897444","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0201","FITBT","","2 / 1 = [blank] rest [blank]","{2, 0}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"499003525806593","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0202","FITBT","","2 / 2 = [blank] rest [blank]","{1, 0}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"423054818406480","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0203","FITBT","","2 / 3 = [blank] rest [blank]","{0, 2}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"846159893868476","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0204","FITBT","","2 / 4 = [blank] rest [blank]","{0, 2}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"799085001392527","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0205","FITBT","","2 / 5 = [blank] rest [blank]","{0, 2}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"326849334352014","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0206","FITBT","","2 / 6 = [blank] rest [blank]","{0, 2}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"710118332529925","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0207","FITBT","","2 / 7 = [blank] rest [blank]","{0, 2}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"792253356032092","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0208","FITBT","","2 / 8 = [blank] rest [blank]","{0, 2}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"822231318929836","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0209","FITBT","","2 / 9 = [blank] rest [blank]","{0, 2}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"901085164071956","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0210","FITBT","","2 / 10 = [blank] rest [blank]","{0, 2}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"230484177435589","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0301","FITBT","","3 / 1 = [blank] rest [blank]","{3, 0}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"525679882357342","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0302","FITBT","","3 / 2 = [blank] rest [blank]","{1, 1}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"025335881023611","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0303","FITBT","","3 / 3 = [blank] rest [blank]","{1, 0}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"520807662135014","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0304","FITBT","","3 / 4 = [blank] rest [blank]","{0, 3}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"722164993814249","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0305","FITBT","","3 / 5 = [blank] rest [blank]","{0, 3}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"316492230971533","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0306","FITBT","","3 / 6 = [blank] rest [blank]","{0, 3}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"803606689580555","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0307","FITBT","","3 / 7 = [blank] rest [blank]","{0, 3}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"965958802799884","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0308","FITBT","","3 / 8 = [blank] rest [blank]","{0, 3}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"785564148484265","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0309","FITBT","","3 / 9 = [blank] rest [blank]","{0, 3}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"143902174606469","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0310","FITBT","","3 / 10 = [blank] rest [blank]","{0, 3}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"653621432345852","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0401","FITBT","","4 / 1 = [blank] rest [blank]","{4, 0}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"608475042434845","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0402","FITBT","","4 / 2 = [blank] rest [blank]","{2, 0}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"110054887088766","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0403","FITBT","","4 / 3 = [blank] rest [blank]","{1, 1}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"105369595381231","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0404","FITBT","","4 / 4 = [blank] rest [blank]","{1, 0}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"900140755085743","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0405","FITBT","","4 / 5 = [blank] rest [blank]","{0, 4}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"754262407785581","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0406","FITBT","","4 / 6 = [blank] rest [blank]","{0, 4}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"301017775649184","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0407","FITBT","","4 / 7 = [blank] rest [blank]","{0, 4}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"351006791314875","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0408","FITBT","","4 / 8 = [blank] rest [blank]","{0, 4}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"514368062772034","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0409","FITBT","","4 / 9 = [blank] rest [blank]","{0, 4}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"820287734099328","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0410","FITBT","","4 / 10 = [blank] rest [blank]","{0, 4}","","","","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,4,Division,1,true,"075695658701230","{""dvs"", ""remainder"", ""<=10""}","fitbt_dvs_rmd_0501","FITBT","","5 / 1 = [blank] rest [blank]","{5, 0}","","","","True","Correct!","Incorrect..",""
